Date,Max,Min,Avg,day_of_the_year,sol_dec,latitude,longitude,altitude,net_rad,net_in_sol_rad,net_out_lw_rad,sol_rad,daylight_hours,sunshine hours,et_rad,sunset_hour_angle,ird,cs_rad,avp,latitud(rad)
1/6/2022,32,27,29.5,152,,1.288582,103.869204,9.108778,,,,,,12.2311,,,,,,-0.022489999
2/6/2022,33,27,30,153,,,,,,,,,,12.2317,,,,,,
3/6/2022,31,25,28,154,,,,,,,,,,12.2325,,,,,,
4/6/2022,32,25,28.5,155,,,,,,,,,,12.2331,,,,,,
5/6/2022,32,25,28.5,156,,,,,,,,,,12.2333,,,,,,
6/6/2022,31,26,28.5,157,,,,,,,,,,12.2339,,,,,,
7/6/2022,30,26,28,158,,,,,,,,,,12.2344,,,,,,
8/6/2022,33,26,29.5,159,,,,,,,,,,12.235,,,,,,
9/6/2022,31,25,28,160,,,,,,,,,,12.2353,,,,,,
10/6/2022,33,25,29,161,,,,,,,,,,12.2358,,,,,,
11/6/2022,32,23,27.5,162,,,,,,,,,,12.2358,,,,,,
12/6/2022,30,26,28,163,,,,,,,,,,12.2364,,,,,,
13/6/2022,33,24,28.5,164,,,,,,,,,,12.2367,,,,,,
14/6/2022,32,26,29,165,,,,,,,,,,12.2367,,,,,,
15/6/2022,32,24,28,166,,,,,,,,,,12.2372,,,,,,
16/6/2022,30,23,26.5,167,,,,,,,,,,12.2375,,,,,,
17/6/2022,31,25,28,168,,,,,,,,,,12.2375,,,,,,
18/6/2022,31,26,28.5,169,,,,,,,,,,12.2375,,,,,,
19/6/2022,31,25,28,170,,,,,,,,,,12.2375,,,,,,
20/6/2022,28,25,26.5,171,,,,,,,,,,12.2378,,,,,,
21/6/2022,29,26,27.5,172,,,,,,,,,,12.2378,,,,,,
22/6/2022,30,26,28,173,,,,,,,,,,12.2378,,,,,,
23/6/2022,30,24,27,174,,,,,,,,,,12.2378,,,,,,
24/6/2022,31,25,28,175,,,,,,,,,,12.2375,,,,,,
25/6/2022,29,24,26.5,176,,,,,,,,,,12.2375,,,,,,
26/6/2022,32,26,29,177,,,,,,,,,,12.2375,,,,,,
27/6/2022,33,26,29.5,178,,,,,,,,,,12.2372,,,,,,
28/6/2022,32,26,29,179,,,,,,,,,,12.2369,,,,,,
29/6/2022,32,26,29,180,,,,,,,,,,12.2367,,,,,,
30/6/2022,30,24,27,181,,,,,,,,,,12.2364,,,,,,
1/7/2022,32,27,29.5,182,,,,,,,,,,12.2361,,,,,,
2/7/2022,32,26,29,183,,,,,,,,,,12.2358,,,,,,
3/7/2022,32,26,29,184,,,,,,,,,,12.2356,,,,,,
4/7/2022,33,26,29.5,185,,,,,,,,,,12.235,,,,,,
5/7/2022,31,26,28.5,186,,,,,,,,,,12.2344,,,,,,
6/7/2022,31,26,28.5,187,,,,,,,,,,12.2342,,,,,,
7/7/2022,33,27,30,188,,,,,,,,,,12.2336,,,,,,
8/7/2022,32,25,28.5,189,,,,,,,,,,12.2328,,,,,,
9/7/2022,32,27,29.5,190,,,,,,,,,,12.2322,,,,,,
10/7/2022,30,25,27.5,191,,,,,,,,,,12.2319,,,,,,
11/7/2022,32,25,28.5,192,,,,,,,,,,12.2311,,,,,,
12/7/2022,32,26,29,193,,,,,,,,,,12.2306,,,,,,
13/7/2022,31,27,29,194,,,,,,,,,,12.23,,,,,,
14/7/2022,32,26,29,195,,,,,,,,,,12.2292,,,,,,
15/7/2022,32,27,29.5,196,,,,,,,,,,12.2286,,,,,,
16/7/2022,32,27,29.5,197,,,,,,,,,,12.2275,,,,,,
17/7/2022,33,28,30.5,198,,,,,,,,,,12.2269,,,,,,
18/7/2022,33,28,30.5,199,,,,,,,,,,12.2261,,,,,,
19/7/2022,33,28,30.5,200,,,,,,,,,,12.2253,,,,,,
20/7/2022,30,23,26.5,201,,,,,,,,,,12.2244,,,,,,
21/7/2022,32,26,29,202,,,,,,,,,,12.2236,,,,,,
22/7/2022,31,25,28,203,,,,,,,,,,12.2225,,,,,,
23/7/2022,33,25,29,204,,,,,,,,,,12.2219,,,,,,
24/7/2022,32,24,28,205,,,,,,,,,,12.2206,,,,,,
25/7/2022,31,25,28,206,,,,,,,,,,12.22,,,,,,
26/7/2022,30,25,27.5,207,,,,,,,,,,12.2189,,,,,,
27/7/2022,32,26,29,208,,,,,,,,,,12.2178,,,,,,
28/7/2022,33,28,30.5,209,,,,,,,,,,12.2167,,,,,,
29/7/2022,32,25,28.5,210,,,,,,,,,,12.2158,,,,,,
30/7/2022,32,25,28.5,211,,,,,,,,,,12.2147,,,,,,
31/7/2022,32,27,29.5,212,,,,,,,,,,12.2136,,,,,,
